city,country,decade,metadata
Los Angeles,USA,2010s,"2010s: Los Angeles felt smartphone/social media dominance, populist swings, and widening inequality alongside suburban expansion and consumer culture; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and volunteerism and individual achievement."
Los Angeles,USA,2020s,"2020s: Pandemic years reshaped Los Angeles; Lockdowns varied by region; remote work surged, polarization around mandates rose, and mutual‑aid groups blossomed."
Chicago,USA,1920s,"1920s: Chicago felt interwar modernization, mass culture, and uneven prosperity alongside suburban expansion and consumer culture; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and volunteerism and individual achievement."
Chicago,USA,1930s,"1930s: Chicago felt economic depression, political radicalization, and pre‑war mobilization alongside suburban expansion and consumer culture; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and volunteerism and individual achievement."
Chicago,USA,1940s,"1940s: Chicago felt world war, decolonization beginnings, and post‑war reconstruction alongside suburban expansion and consumer culture; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and volunteerism and individual achievement."
Chicago,USA,1950s,"1950s: Chicago felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside suburban expansion and consumer culture; locals commonly emphasized respectability, conformity in public life, and steady work ethic and volunteerism and individual achievement."
Chicago,USA,1960s,"1960s: Chicago felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside suburban expansion and consumer culture; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and volunteerism and individual achievement."
Chicago,USA,1970s,"1970s: Chicago felt oil shocks, stagflation or state expansion, and social realignment alongside suburban expansion and consumer culture; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and volunteerism and individual achievement."
Chicago,USA,1980s,"1980s: Chicago felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside suburban expansion and consumer culture; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and volunteerism and individual achievement."
Chicago,USA,1990s,"1990s: Chicago felt post‑Cold‑War reordering, globalization, and early internet adoption alongside suburban expansion and consumer culture; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and volunteerism and individual achievement."
Chicago,USA,2000s,"2000s: Chicago felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside suburban expansion and consumer culture; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and volunteerism and individual achievement."
Chicago,USA,2010s,"2010s: Chicago felt smartphone/social media dominance, populist swings, and widening inequality alongside suburban expansion and consumer culture; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and volunteerism and individual achievement."
Chicago,USA,2020s,"2020s: Pandemic years reshaped Chicago; Lockdowns varied by region; remote work surged, polarization around mandates rose, and mutual‑aid groups blossomed."
Toronto,Canada,1920s,"1920s: Toronto felt interwar modernization, mass culture, and uneven prosperity alongside suburban expansion and consumer culture; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and volunteerism and individual achievement."
Toronto,Canada,1930s,"1930s: Toronto felt economic depression, political radicalization, and pre‑war mobilization alongside suburban expansion and consumer culture; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and volunteerism and individual achievement."
Toronto,Canada,1940s,"1940s: Toronto felt world war, decolonization beginnings, and post‑war reconstruction alongside suburban expansion and consumer culture; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and volunteerism and individual achievement."
Toronto,Canada,1950s,"1950s: Toronto felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside suburban expansion and consumer culture; locals commonly emphasized respectability, conformity in public life, and steady work ethic and volunteerism and individual achievement."
Toronto,Canada,1960s,"1960s: Toronto felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside suburban expansion and consumer culture; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and volunteerism and individual achievement."
Toronto,Canada,1970s,"1970s: Toronto felt oil shocks, stagflation or state expansion, and social realignment alongside suburban expansion and consumer culture; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and volunteerism and individual achievement."
Toronto,Canada,1980s,"1980s: Toronto felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside suburban expansion and consumer culture; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and volunteerism and individual achievement."
Toronto,Canada,1990s,"1990s: Toronto felt post‑Cold‑War reordering, globalization, and early internet adoption alongside suburban expansion and consumer culture; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and volunteerism and individual achievement."
Toronto,Canada,2000s,"2000s: Toronto felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside suburban expansion and consumer culture; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and volunteerism and individual achievement."
Toronto,Canada,2010s,"2010s: Toronto felt smartphone/social media dominance, populist swings, and widening inequality alongside suburban expansion and consumer culture; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and volunteerism and individual achievement."
Toronto,Canada,2020s,"2020s: Pandemic years reshaped Toronto; Lockdowns varied by region; remote work surged, polarization around mandates rose, and mutual‑aid groups blossomed."
Vancouver,Canada,1920s,"1920s: Vancouver felt interwar modernization, mass culture, and uneven prosperity alongside suburban expansion and consumer culture; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and volunteerism and individual achievement."
Vancouver,Canada,1930s,"1930s: Vancouver felt economic depression, political radicalization, and pre‑war mobilization alongside suburban expansion and consumer culture; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and volunteerism and individual achievement."
Vancouver,Canada,1940s,"1940s: Vancouver felt world war, decolonization beginnings, and post‑war reconstruction alongside suburban expansion and consumer culture; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and volunteerism and individual achievement."
Vancouver,Canada,1950s,"1950s: Vancouver felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside suburban expansion and consumer culture; locals commonly emphasized respectability, conformity in public life, and steady work ethic and volunteerism and individual achievement."
Vancouver,Canada,1960s,"1960s: Vancouver felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside suburban expansion and consumer culture; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and volunteerism and individual achievement."
Vancouver,Canada,1970s,"1970s: Vancouver felt oil shocks, stagflation or state expansion, and social realignment alongside suburban expansion and consumer culture; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and volunteerism and individual achievement."
Vancouver,Canada,1980s,"1980s: Vancouver felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside suburban expansion and consumer culture; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and volunteerism and individual achievement."
Vancouver,Canada,1990s,"1990s: Vancouver felt post‑Cold‑War reordering, globalization, and early internet adoption alongside suburban expansion and consumer culture; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and volunteerism and individual achievement."
Vancouver,Canada,2000s,"2000s: Vancouver felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside suburban expansion and consumer culture; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and volunteerism and individual achievement."
Vancouver,Canada,2010s,"2010s: Vancouver felt smartphone/social media dominance, populist swings, and widening inequality alongside suburban expansion and consumer culture; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and volunteerism and individual achievement."
Vancouver,Canada,2020s,"2020s: Pandemic years reshaped Vancouver; Lockdowns varied by region; remote work surged, polarization around mandates rose, and mutual‑aid groups blossomed."
Mexico City,Mexico,1920s,"1920s: Mexico City felt interwar modernization, mass culture, and uneven prosperity alongside oscillating populism and economic volatility; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1930s,"1930s: Mexico City felt economic depression, political radicalization, and pre‑war mobilization alongside oscillating populism and economic volatility; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1940s,"1940s: Mexico City felt world war, decolonization beginnings, and post‑war reconstruction alongside oscillating populism and economic volatility; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1950s,"1950s: Mexico City felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside oscillating populism and economic volatility; locals commonly emphasized respectability, conformity in public life, and steady work ethic and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1960s,"1960s: Mexico City felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside oscillating populism and economic volatility; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1970s,"1970s: Mexico City felt oil shocks, stagflation or state expansion, and social realignment alongside oscillating populism and economic volatility; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,1980s,1980s: The 1985 earthquake catalyzed grassroots civic networks; neighbors prized mutual aid and citizen oversight.
Mexico City,Mexico,1990s,"1990s: Mexico City felt post‑Cold‑War reordering, globalization, and early internet adoption alongside oscillating populism and economic volatility; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,2000s,"2000s: Mexico City felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside oscillating populism and economic volatility; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,2010s,"2010s: Mexico City felt smartphone/social media dominance, populist swings, and widening inequality alongside oscillating populism and economic volatility; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and tight‑knit kinship and street‑level solidarity."
Mexico City,Mexico,2020s,"2020s: Pandemic years reshaped Mexico City; Long restrictions and economic strain hit hard; neighborhoods relied on solidarity, remittances, and informal work."
São Paulo,Brazil,1920s,"1920s: São Paulo felt interwar modernization, mass culture, and uneven prosperity alongside oscillating populism and economic volatility; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1930s,"1930s: São Paulo felt economic depression, political radicalization, and pre‑war mobilization alongside oscillating populism and economic volatility; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1940s,"1940s: São Paulo felt world war, decolonization beginnings, and post‑war reconstruction alongside oscillating populism and economic volatility; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1950s,"1950s: São Paulo felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside oscillating populism and economic volatility; locals commonly emphasized respectability, conformity in public life, and steady work ethic and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1960s,"1960s: São Paulo felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside oscillating populism and economic volatility; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1970s,"1970s: São Paulo felt oil shocks, stagflation or state expansion, and social realignment alongside oscillating populism and economic volatility; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1980s,"1980s: São Paulo felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside oscillating populism and economic volatility; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,1990s,"1990s: São Paulo felt post‑Cold‑War reordering, globalization, and early internet adoption alongside oscillating populism and economic volatility; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,2000s,"2000s: São Paulo felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside oscillating populism and economic volatility; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,2010s,"2010s: São Paulo felt smartphone/social media dominance, populist swings, and widening inequality alongside oscillating populism and economic volatility; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and tight‑knit kinship and street‑level solidarity."
São Paulo,Brazil,2020s,"2020s: Pandemic years reshaped São Paulo; Long restrictions and economic strain hit hard; neighborhoods relied on solidarity, remittances, and informal work."
Buenos Aires,Argentina,1920s,"1920s: Buenos Aires felt interwar modernization, mass culture, and uneven prosperity alongside oscillating populism and economic volatility; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1930s,"1930s: Buenos Aires felt economic depression, political radicalization, and pre‑war mobilization alongside oscillating populism and economic volatility; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1940s,"1940s: Buenos Aires felt world war, decolonization beginnings, and post‑war reconstruction alongside oscillating populism and economic volatility; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1950s,"1950s: Buenos Aires felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside oscillating populism and economic volatility; locals commonly emphasized respectability, conformity in public life, and steady work ethic and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1960s,"1960s: Buenos Aires felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside oscillating populism and economic volatility; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1970s,"1970s: Buenos Aires felt oil shocks, stagflation or state expansion, and social realignment alongside oscillating populism and economic volatility; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1980s,"1980s: Buenos Aires felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside oscillating populism and economic volatility; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,1990s,"1990s: Buenos Aires felt post‑Cold‑War reordering, globalization, and early internet adoption alongside oscillating populism and economic volatility; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,2000s,"2000s: Buenos Aires felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside oscillating populism and economic volatility; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,2010s,"2010s: Buenos Aires felt smartphone/social media dominance, populist swings, and widening inequality alongside oscillating populism and economic volatility; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and tight‑knit kinship and street‑level solidarity."
Buenos Aires,Argentina,2020s,"2020s: Pandemic years reshaped Buenos Aires; Long restrictions and economic strain hit hard; neighborhoods relied on solidarity, remittances, and informal work."
Lima,Peru,1920s,"1920s: Lima felt interwar modernization, mass culture, and uneven prosperity alongside oscillating populism and economic volatility; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1930s,"1930s: Lima felt economic depression, political radicalization, and pre‑war mobilization alongside oscillating populism and economic volatility; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1940s,"1940s: Lima felt world war, decolonization beginnings, and post‑war reconstruction alongside oscillating populism and economic volatility; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1950s,"1950s: Lima felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside oscillating populism and economic volatility; locals commonly emphasized respectability, conformity in public life, and steady work ethic and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1960s,"1960s: Lima felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside oscillating populism and economic volatility; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1970s,"1970s: Lima felt oil shocks, stagflation or state expansion, and social realignment alongside oscillating populism and economic volatility; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1980s,"1980s: Lima felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside oscillating populism and economic volatility; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and tight‑knit kinship and street‑level solidarity."
Lima,Peru,1990s,"1990s: Lima felt post‑Cold‑War reordering, globalization, and early internet adoption alongside oscillating populism and economic volatility; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and tight‑knit kinship and street‑level solidarity."
Lima,Peru,2000s,"2000s: Lima felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside oscillating populism and economic volatility; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and tight‑knit kinship and street‑level solidarity."
Lima,Peru,2010s,"2010s: Lima felt smartphone/social media dominance, populist swings, and widening inequality alongside oscillating populism and economic volatility; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and tight‑knit kinship and street‑level solidarity."
Lima,Peru,2020s,"2020s: Pandemic years reshaped Lima; Long restrictions and economic strain hit hard; neighborhoods relied on solidarity, remittances, and informal work."
Bogotá,Colombia,1920s,"1920s: Bogotá felt interwar modernization, mass culture, and uneven prosperity alongside oscillating populism and economic volatility; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1930s,"1930s: Bogotá felt economic depression, political radicalization, and pre‑war mobilization alongside oscillating populism and economic volatility; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1940s,"1940s: Bogotá felt world war, decolonization beginnings, and post‑war reconstruction alongside oscillating populism and economic volatility; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1950s,"1950s: Bogotá felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside oscillating populism and economic volatility; locals commonly emphasized respectability, conformity in public life, and steady work ethic and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1960s,"1960s: Bogotá felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside oscillating populism and economic volatility; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1970s,"1970s: Bogotá felt oil shocks, stagflation or state expansion, and social realignment alongside oscillating populism and economic volatility; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1980s,"1980s: Bogotá felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside oscillating populism and economic volatility; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,1990s,"1990s: Bogotá felt post‑Cold‑War reordering, globalization, and early internet adoption alongside oscillating populism and economic volatility; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,2000s,"2000s: Bogotá felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside oscillating populism and economic volatility; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,2010s,"2010s: Bogotá felt smartphone/social media dominance, populist swings, and widening inequality alongside oscillating populism and economic volatility; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and tight‑knit kinship and street‑level solidarity."
Bogotá,Colombia,2020s,"2020s: Pandemic years reshaped Bogotá; Long restrictions and economic strain hit hard; neighborhoods relied on solidarity, remittances, and informal work."
London,UK,1920s,"1920s: London felt interwar modernization, mass culture, and uneven prosperity alongside integration and welfare‑state recalibration; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and civic rules, unions, and cultural heritage pride."
London,UK,1930s,"1930s: London felt economic depression, political radicalization, and pre‑war mobilization alongside integration and welfare‑state recalibration; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and civic rules, unions, and cultural heritage pride."
London,UK,1940s,"1940s: London felt world war, decolonization beginnings, and post‑war reconstruction alongside integration and welfare‑state recalibration; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and civic rules, unions, and cultural heritage pride."
London,UK,1950s,"1950s: London felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside integration and welfare‑state recalibration; locals commonly emphasized respectability, conformity in public life, and steady work ethic and civic rules, unions, and cultural heritage pride."
London,UK,1960s,"1960s: London felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside integration and welfare‑state recalibration; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and civic rules, unions, and cultural heritage pride."
London,UK,1970s,"1970s: London felt oil shocks, stagflation or state expansion, and social realignment alongside integration and welfare‑state recalibration; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and civic rules, unions, and cultural heritage pride."
London,UK,1980s,"1980s: London felt market reforms or debt crises, late‑Cold‑War tension, and mass media saturation alongside integration and welfare‑state recalibration; locals commonly emphasized hustle culture, brand awareness, and cautious trust in institutions and civic rules, unions, and cultural heritage pride."
London,UK,1990s,"1990s: London felt post‑Cold‑War reordering, globalization, and early internet adoption alongside integration and welfare‑state recalibration; locals commonly emphasized adaptability, new professional identities, and widening global outlooks and civic rules, unions, and cultural heritage pride."
London,UK,2000s,"2000s: London felt accelerating globalization, mobile/internet mainstreaming, and security anxieties alongside integration and welfare‑state recalibration; locals commonly emphasized cosmopolitan networking, entrepreneurial hustle, and risk management in daily life and civic rules, unions, and cultural heritage pride."
London,UK,2010s,"2010s: London felt smartphone/social media dominance, populist swings, and widening inequality alongside integration and welfare‑state recalibration; locals commonly emphasized online‑offline blending, personal branding, and gig‑economy resilience and civic rules, unions, and cultural heritage pride."
London,UK,2020s,2020s: Pandemic years reshaped London; Waves of lockdowns and furloughs met strong public services; social solidarity and rule‑following marked daily life.
Manchester,UK,1920s,"1920s: Manchester felt interwar modernization, mass culture, and uneven prosperity alongside integration and welfare‑state recalibration; locals commonly emphasized frugality or new consumer tastes, family obligation, and neighborhood reciprocity and civic rules, unions, and cultural heritage pride."
Manchester,UK,1930s,"1930s: Manchester felt economic depression, political radicalization, and pre‑war mobilization alongside integration and welfare‑state recalibration; locals commonly emphasized thrift, mutual aid, and deference to authority or strong leaders and civic rules, unions, and cultural heritage pride."
Manchester,UK,1940s,"1940s: Manchester felt world war, decolonization beginnings, and post‑war reconstruction alongside integration and welfare‑state recalibration; locals commonly emphasized sacrifice, ration discipline, and solidarity across families and civic rules, unions, and cultural heritage pride."
Manchester,UK,1950s,"1950s: Manchester felt post‑war growth, suburbanization/urban renewal, and Cold War pressures alongside integration and welfare‑state recalibration; locals commonly emphasized respectability, conformity in public life, and steady work ethic and civic rules, unions, and cultural heritage pride."
Manchester,UK,1960s,"1960s: Manchester felt youth movements, civil rights/anti‑colonial struggles, and cultural liberalization alongside integration and welfare‑state recalibration; locals commonly emphasized experimentation balanced with tradition, and rising assertion of personal identity and civic rules, unions, and cultural heritage pride."
Manchester,UK,1970s,"1970s: Manchester felt oil shocks, stagflation or state expansion, and social realignment alongside integration and welfare‑state recalibration; locals commonly emphasized pragmatism, extended family safety nets, and informal hustles and civic rules, unions, and cultural heritage pride."
